,product,market,mean,std,cv,adf_pvalue,trend_strength,season_strength,acf_lag1,acf_season,pacf_lag1,acf_sum5,cluster,pc1,pc2,differentiation
0,BAGS,Discounters,2406.410923076923,445.8210798022113,0.18526390298801024,0.5655510267408934,0.983425541207335,0.7204502743100122,0.9412840384023069,0.3718815781889304,0.9559916015023427,4.0860951664123135,0,1.0978312876935847,1.691701239057187,1
1,BAGS,National Urban Hypermarkets,9472.215076923078,426.2347109542578,0.04499841985141183,0.058820857890500934,0.5439915790309716,0.395424810615843,0.7780311259598737,-0.19916823805922335,0.7901878623029966,2.3231889885066894,2,-0.6180975645119469,-2.5812292455564902,1
2,BAGS,National Urban Minimarkets,1594.6409230769232,382.74180589172596,0.2400175489998152,0.6595402621868467,0.9864946327326611,0.7082235894296717,0.9456383410422616,0.3822246785053573,0.9604139401210469,4.043263276513877,0,0.997115688344878,2.181279186423403,1
3,BAGS,National Urban Supermarkets,3179.720307692308,500.0648831525803,0.15726694009621997,0.6273717021897038,0.9839173721762037,0.6569258220055335,0.9341863114940269,0.3889237813591311,0.9487829726111211,4.142861101842153,0,1.2466793231456015,1.2789270176684728,1
4,BARS,Discounters,3487.202461538462,277.9331765856159,0.07970090055023622,0.403007688888513,0.8899160528544235,0.4909790661822855,0.903002515349223,0.005843726141814092,0.9171119296515545,3.430121038036305,0,1.2806073824814044,-0.27598068903074063,1
5,BARS,National Urban Hypermarkets,6566.483230769231,931.4716655532048,0.1418524395506737,0.8579981266345413,0.959192493613353,0.2935805611360655,0.9432716460177305,0.4233557224586501,0.9580102654867575,4.324283659799739,0,2.099089293753789,0.2247240873699348,1
6,BARS,National Urban Minimarkets,3009.8646153846153,170.64643366362913,0.05669571740582195,0.5421776181351909,0.9380969634735075,0.47358622310567355,0.887888947398116,0.24909902693712468,0.9017622122012113,3.7208974815200686,0,1.3430893393305878,-0.35379785435963357,1
7,BARS,National Urban Supermarkets,3534.998923076923,277.4498840056698,0.07848655403950526,0.40494064630893123,0.8883188027398082,0.5643227253182207,0.8927956850079718,-0.14243604328162576,0.9067456175862215,3.3338149824523082,0,1.0146417484483092,-0.15026680618141247,1
8,BITESIZE,Discounters,304.88261538461535,63.21308347755538,0.20733580823495248,0.046532799544729456,0.6015610359839735,0.5856178874717191,0.8673547097070616,-0.06878871890024427,0.8809071270462346,2.3225844038285945,0,-0.4309647881309837,-0.22286460162964042,0
9,BITESIZE,National Urban Hypermarkets,1452.802,190.58778481155343,0.1311863452910675,0.619770253798279,0.8838891837279477,0.4786357006456623,0.8879243665699338,0.05620207483064537,0.9017981847975891,3.095765225933776,0,0.954688659742012,0.0987522704246409,1
10,BITESIZE,National Urban Minimarkets,260.27384615384614,51.26586320631363,0.19696893853872172,0.5649833612813218,0.8989526525667981,0.5774906544700278,0.9324034276142449,0.35615469971095404,0.9469722311707174,3.899888178772774,0,1.0562981410765033,1.0887156883571514,1
11,BITESIZE,National Urban Supermarkets,443.2572307692308,76.23391345694867,0.17198571882212044,0.7092289974946624,0.8386131730789246,0.494817093033493,0.9160584407138781,0.14014505660202461,0.9303718538500325,3.573557865012762,0,0.9862980225144545,0.37777145630421277,1
12,BOXED CHOCOLATE,Discounters,2675.7456923076925,605.6140582060319,0.2263346849243065,0.9034353816029013,0.8533486536946484,0.9346409217493362,0.680828600076058,0.6568846005446514,0.691466546952246,1.693509608098664,1,-2.67379461527255,1.3770880939547288,2
13,BOXED CHOCOLATE,National Urban Hypermarkets,14924.87723076923,2441.4306303441917,0.16358128730941393,0.9340642069829284,0.7272275499788683,0.9476103089518213,0.5939548443514172,0.6595552748575453,0.603235388794408,1.6364272599507443,1,-3.7554517028171865,0.0955031555498703,1
14,BOXED CHOCOLATE,National Urban Minimarkets,2201.675538461538,441.2718233627048,0.2004254558194582,0.6909773844029932,0.913416548658799,0.9552894255135089,0.7566261035656545,0.6819271439300937,0.768448386433868,1.8575656694368714,1,-1.649936803493876,1.6273185283496387,2
15,BOXED CHOCOLATE,National Urban Supermarkets,3742.094769230769,856.7026100496961,0.22893664187606913,0.8579741784816804,0.927266126353285,0.9418597075060676,0.7239549288358713,0.6415575780106774,0.7352667245989319,1.7385683372902316,1,-2.04333919324751,1.8351545875716455,2
16,FRUITY CONFECTIONS,Discounters,4835.491384615386,399.51262632924426,0.08262089507600713,0.5399079438889145,0.9416813589374216,0.6800458691988964,0.9202856689079651,0.31862682980773954,0.9346651324846521,4.080983396688449,0,1.1907164967785875,0.4449270600272409,1
17,FRUITY CONFECTIONS,National Urban Hypermarkets,16198.024153846154,750.2323238564429,0.04631628627855227,0.025384576421895302,0.5157358445366106,0.5245631067027517,0.7758471968283932,-0.30754313218147455,0.787969809278837,1.72388145568232,2,-0.9852032042630516,-2.399649477356647,0
18,FRUITY CONFECTIONS,National Urban Minimarkets,4358.481999999999,219.98280045125122,0.05047234345610496,0.10124813094234142,0.8836644387139155,0.6354310518771538,0.8194154273278514,0.04281094755472914,0.8322187933798492,3.085523313578904,0,0.13818440841222807,-0.43499598640181747,1
19,FRUITY CONFECTIONS,National Urban Supermarkets,5981.858000000001,528.9424768677592,0.08842444552641655,0.6708506038635929,0.9038684608990306,0.40018595690409703,0.9224593555702106,0.3184044678720098,0.9368727830009956,4.00385206880406,0,1.690047446539763,-0.299111769234638,1
20,GUM,Discounters,3514.7113846153843,155.54989051825265,0.044256803332167347,0.2923167988659353,0.7756679345804137,0.4146558512812216,0.8417354204615645,0.1804820421038508,0.8548875364062761,3.0601852507725047,2,0.6063575659179395,-1.4037755098525384,1
